"類型","日期","內容"
"投資帳戶資產撥回基準日","2022/04/19","合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)"
"投資帳戶資產撥回基準日","2022/05/03","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽標普樂活安養穩健投資帳戶(合庫投信)-雙週撥現(DMA025)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合作金庫人壽全球資產投資帳戶(委託富達投信運用操作)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽新臺幣全球資產投資帳戶(復華投信)-月撥現(DMA021)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)、合作金庫人壽全天候投資帳戶（委託保德信投信運用操作）─月撥現"
"投資帳戶資產撥回基準日","2022/05/16","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)"
"投資帳戶資產撥回基準日","2022/06/01","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽標普樂活安養穩健投資帳戶(合庫投信)-雙週撥現(DMA025)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合作金庫人壽全球資產投資帳戶(委託富達投信運用操作)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽新臺幣全球資產投資帳戶(復華投信)-月撥現(DMA021)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)、合作金庫人壽全天候投資帳戶（委託保德信投信運用操作）─月撥現"
"投資帳戶資產撥回基準日","2022/06/16","合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)"
"投資帳戶資產撥回基準日","2022/07/01","合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合作金庫人壽全球資產投資帳戶(委託富達投信運用操作)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽新臺幣全球資產投資帳戶(復華投信)-月撥現(DMA021)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)、合作金庫人壽全天候投資帳戶（委託保德信投信運用操作）─月撥現"
"投資帳戶資產撥回基準日","2022/07/18","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)"
"投資帳戶資產撥回基準日","2022/08/01","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽標普樂活安養穩健投資帳戶(合庫投信)-雙週撥現(DMA025)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合作金庫人壽全球資產投資帳戶(委託富達投信運用操作)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽新臺幣全球資產投資帳戶(復華投信)-月撥現(DMA021)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)、合作金庫人壽全天候投資帳戶（委託保德信投信運用操作）─月撥現"
"投資帳戶資產撥回基準日","2022/08/02","合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)"
"投資帳戶資產撥回基準日","2022/08/16","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)"
"投資帳戶資產撥回基準日","2022/09/01","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽標普樂活安養穩健投資帳戶(合庫投信)-雙週撥現(DMA025)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合作金庫人壽全球資產投資帳戶(委託富達投信運用操作)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽新臺幣全球資產投資帳戶(復華投信)-月撥現(DMA021)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)、合作金庫人壽全天候投資帳戶（委託保德信投信運用操作）─月撥現"
"投資帳戶資產撥回基準日","2022/09/16","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)"
"投資帳戶資產撥回基準日","2022/10/03","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽標普樂活安養穩健投資帳戶(合庫投信)-雙週撥現(DMA025)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合作金庫人壽全球資產投資帳戶(委託富達投信運用操作)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽新臺幣全球資產投資帳戶(復華投信)-月撥現(DMA021)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)、合作金庫人壽全天候投資帳戶（委託保德信投信運用操作）─月撥現"
"投資帳戶資產撥回基準日","2022/10/17","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)"
"投資帳戶資產撥回基準日","2022/11/01","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽標普樂活安養穩健投資帳戶(合庫投信)-雙週撥現(DMA025)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合作金庫人壽全球資產投資帳戶(委託富達投信運用操作)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽新臺幣全球資產投資帳戶(復華投信)-月撥現(DMA021)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽全天候投資帳戶（委託保德信投信運用操作）─月撥現"
"投資帳戶資產撥回基準日","2022/11/02","合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)"
"投資帳戶資產撥回基準日","2022/11/16","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)"
"投資帳戶資產撥回基準日","2022/12/01","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽標普樂活安養穩健投資帳戶(合庫投信)-雙週撥現(DMA025)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合作金庫人壽全球資產投資帳戶(委託富達投信運用操作)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽新臺幣全球資產投資帳戶(復華投信)-月撥現(DMA021)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)、合作金庫人壽全天候投資帳戶（委託保德信投信運用操作）─月撥現"
"投資帳戶資產撥回基準日","2022/12/16","合作金庫人壽新臺幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA011)、合作金庫人壽新臺幣全球平衡投資帳戶(合庫投信)-雙週撥現(DMA015)、合作金庫人壽環球穩健投資帳戶(合庫投信)-雙週撥現(DMA019)、合作金庫人壽澳幣環球穩健投資帳戶(合庫投信)-雙週撥現(DMA007)、合作金庫人壽新臺幣環球穩健投資帳戶(安聯投信)-雙週撥現(DMA017)、合庫金庫人壽環球穩健投資帳戶、合作金庫人壽新臺幣環球穩健投資帳戶(復華投信)-雙週撥現(DMA009)、合作金庫人壽人民幣環球穩健投資帳戶(群益投信)-雙週撥現、合作金庫人壽環球穩健投資帳戶(聯博投信)-雙週撥現(DMA003)"
